"Name","Source","Size","Alignment","AC","HP","Speed","Strength","Dexterity","Constitution","Intelligence","Wisdom","Charisma","Saving Throws","Skills","Damage Vulnerabilities","Damage Resistances","Damage Immunities","Condition Immunities","Senses","Languages","CR","Traits","Actions","Bonus Actions","Reactions","Legendary Actions","Mythic Actions","Lair Actions","Regional Effects","Environment"
"Quipper","MM","Tiny","unaligned","13","1 (1d4 - 1)","0 ft., swim 40 ft.","2","16","9","1","7","2","","","","","","","darkvision 60 ft., passive Perception 8","—","0 (0 or 10 XP)"," Blood Frenzy. The quipper has advantage on melee attack rolls against any creature that doesn't have all its hit points. Water Breathing. The quipper can breathe only underwater."," Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 1 piercing damage.","","","","","","","Underwater"
"Rat","MM","Tiny","unaligned","10","1 (1d4 - 1)","20 ft.","2","11","9","2","10","4","","","","","","","darkvision 30 ft., passive Perception 10","—","0 (0 or 10 XP)"," Keen Smell. The rat has advantage on Wisdom (Perception) checks that rely on smell."," Bite. Melee Weapon Attack: +0 to hit, reach 5 ft., one target. Hit: 1 piercing damage.","","","","","","","Swamp, Urban"
"Raven","MM","Tiny","unaligned","12","1 (1d4 - 1)","10 ft., fly 50 ft.","2","14","8","2","12","6","","Perception +3","","","","","passive Perception 13","—","0 (0 or 10 XP)"," Mimicry. The raven can mimic simple sounds it has heard, such as a person whispering, a baby crying, or an animal chittering. A creature that hears the sounds can tell they are imitations with a successful DC 10 Wisdom (Insight) check."," Beak. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 1 piercing damage.","","","","","","","Hill, Swamp, Urban"
"Reef Shark","MM","Medium","unaligned","12 (natural armor)","22 (4d8 + 4)","0 ft., swim 40 ft.","14","13","13","1","10","4","","Perception +2","","","","","blindsight 30 ft., passive Perception 12","—","1/2 (100 XP)"," Pack Tactics. The shark has advantage on an attack roll against a creature if at least one of the shark's allies is within 5 feet of the creature and the ally isn't incapacitated. Water Breathing. The shark can breathe only underwater."," Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 6 (1d8 + 2) piercing damage.","","","","","","","Underwater"
"Reindeer","IDRotF","Large","unaligned","10","13 (2d10 + 2)","50 ft.","16","10","12","2","10","6","","","","","","","passive Perception 10","—","1/4 (50 XP)"," Charge. If the reindeer moves at least 20 feet straight toward a target and then hits it with a ram attack on the same turn, the target takes an extra 7 (2d6) damage. If the target is a creature, it must succeed on a DC 13 Strength saving throw or be knocked prone."," Ram. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) bludgeoning damage. Hooves. Melee Weapon Attack: +5 to hit, reach 5 ft., one prone creature. Hit: 8 (2d4 + 3) bludgeoning damage.","","","","","","",""
"Relic Sloth","SCC","Huge","unaligned","13 (natural armor)","76 (8d12 + 24)","20 ft., climb 20 ft.","20","9","17","2","12","8","","Perception +3","","","","","passive Perception 13","—","2 (450 XP)",""," Claws. Melee Weapon Attack: +7 to hit, reach 10 ft., one target. Hit: 14 (2d8 + 5) slashing damage, and the target is grappled (escape DC 15). The relic sloth can grapple no more than two targets at a time.",""," Slow but Sturdy. When the relic sloth is subjected to an effect that would move it out of its current space or knock it prone, it is neither moved nor knocked prone.","","","","",""
"Rhinoceros","MM","Large","unaligned","11 (natural armor)","45 (6d10 + 12)","40 ft.","21","8","15","2","12","6","","","","","","","passive Perception 11","—","2 (450 XP)"," Charge. If the rhinoceros moves at least 20 feet straight toward a target and then hits it with a gore attack on the same turn, the target takes an extra 9 (2d8) bludgeoning damage. If the target is a creature, it must succeed on a DC 15 Strength saving throw or be knocked prone."," Gore. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 14 (2d8 + 5) bludgeoning damage.","","","","","","","Grassland"
"Riding Horse","MM","Large","unaligned","10","13 (2d10 + 2)","60 ft.","16","10","12","2","11","7","","","","","","","passive Perception 10","—","1/4 (50 XP)",""," Hooves. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 8 (2d4 + 3) bludgeoning damage.","","","","","","","Grassland, Urban"
"Rooster","JttRC","Tiny","unaligned","13","1 (1d4 - 1)","10 ft.","5","16","8","2","14","6","","Perception +4","","","","","passive Perception 14","—","0 (0 or 10 XP)"," Keen Sight. The rooster has advantage on Wisdom (Perception) checks that rely on sight."," Talons. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 1 slashing damage.","","","","","","",""
"Rothé","VGM","Large","unaligned","10","15 (2d10 + 4)","30 ft.","18","10","14","2","10","4","","","","","","","darkvision 30 ft., passive Perception 10","—","1/4 (50 XP)"," Charge. If the rothé moves at least 20 feet straight toward a target and then hits it with a gore attack on the same turn, the target takes an extra 7 (2d6) piercing damage."," Gore. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 7 (1d6 + 4) piercing damage.","","","","","","","Grassland"
"Saber-Toothed Tiger","MM","Large","unaligned","12","52 (7d10 + 14)","40 ft.","18","14","15","3","12","8","","Perception +3, Stealth +6","","","","","passive Perception 13","—","2 (450 XP)"," Keen Smell. The tiger has advantage on Wisdom (Perception) checks that rely on smell. Pounce. If the tiger moves at least 20 feet straight toward a creature and then hits it with a claw attack on the same turn, that target must succeed on a DC 14 Strength saving throw or be knocked prone. If the target is prone, the tiger can make one bite attack against it as a bonus action."," Bite. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 10 (1d10 + 5) piercing damage. Claw. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 12 (2d6 + 5) slashing damage.","","","","","","","Arctic, Mountain"
"Sahuagin Hatchling Swarm","GoS","Large","chaotic evil","14","52 (8d10 + 8)","0 ft., swim 40 ft.","9","18","12","3","10","3","","","","bludgeoning, piercing, slashing","","charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned","darkvision 120 ft., passive Perception 10","—","3 (700 XP)"," Blood Frenzy. The swarm has advantage on melee attack rolls against any creature that doesn't have all its hit points. Seething. Once it enters combat, the swarm deals 10 slashing damage to itself at the end of its turn if it did not make an attack on that turn. This damage ignores resistance, and it cannot reduce the swarm to 0 hit points. Swarm. The swarm can occupy another creature's space and vice versa, and it can move through any opening large enough for a Tiny creature. The swarm can't regain hit points or gain temporary hit points. Water Breathing. The swarm can breathe only underwater."," Bites. Melee Weapon Attack: +6 to hit, reach 0 ft., one creature in the swarm's space. Hit: 14 (4d6) piercing damage, or 7 (2d6) piercing damage if the swarm has half of its hit points or fewer.","","","","","","",""
"Scorpion","MM","Tiny","unaligned","11 (natural armor)","1 (1d4 - 1)","10 ft.","2","11","8","1","8","2","","","","","","","blindsight 10 ft., passive Perception 9","—","0 (0 or 10 XP)",""," Sting. Melee Weapon Attack: +2 to hit, reach 5 ft., one creature. Hit: 1 piercing damage, and the target must make a DC 9 Constitution saving throw, taking 4 (1d8) poison damage on a failed save, or half as much damage on a successful one.","","","","","","","Desert"
"Sea Horse","MM","Tiny","unaligned","11","1 (1d4 - 1)","0 ft., swim 20 ft.","1","12","8","1","10","2","","","","","","","passive Perception 10","—","0 (0 or 10 XP)"," Water Breathing. The sea horse can breathe only underwater.","","","","","","","",""
"Seal","IDRotF","Medium","unaligned","11","9 (2d8)","20 ft., swim 40 ft.","10","12","11","3","12","5","","","","","","","darkvision 60 ft., passive Perception 11","—","0 (0 or 10 XP)"," Hold Breath. The seal can hold its breath for 15 minutes. Keen Smell. The seal has advantage on Wisdom (Perception) checks that rely on smell."," Bite. Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 1 piercing damage.","","","","","","",""
"Sheep","SKT","Small","unaligned","10","3 (1d6)","30 ft.","12","10","11","2","10","5","","","","","","","passive Perception 10","—","0 (0 or 10 XP)"," Sure-Footed. The sheep has advantage on Strength and Dexterity saving throws made against effects that would knock it prone.","","","","","","","",""
"Sled Dog","RoT","Medium","unaligned","13 (natural armor)","11 (2d8 + 2)","40 ft.","12","15","12","3","12","6","","Perception +3, Stealth +4","","","","","passive Perception 13","—","1/4 (50 XP)"," Keen Hearing and Smell. The dog has advantage on Wisdom (Perception) checks that rely on hearing or smell. Pack Tactics. The dog has advantage on an attack roll against a creature if at least one of the dog's allies is within 5 feet of the creature and the ally isn't incapacitated."," Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 7 (2d4 + 2) piercing damage. If the target is a creature, it must succeed on a DC 11 Strength saving throw or be knocked prone.","","","","","","",""
"Snow Leopard","TftYP","Large","unaligned","12","37 (5d10 + 10)","40 ft.","17","15","14","3","12","8","","Perception +3, Stealth +6","","","","","darkvision 60 ft., passive Perception 13","—","1 (200 XP)"," Keen Smell. The leopard has advantage on Wisdom (Perception) checks that rely on smell. Pounce. If the leopard moves at least 20 feet straight toward a creature and then hits it with a claw attack on the same turn, that target must succeed on a DC 13 Strength saving throw or be knocked prone. If the target is prone, the leopard can make one bite attack against it as a bonus action."," Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 8 (1d10 + 3) piercing damage. Claw. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 7 (1d8 + 3) slashing damage.","","","","","","",""
"Space Eel","BAM","Small","unaligned","14","7 (2d6)","10 ft., fly 30 ft.","12","18","11","1","10","1","","","","","","","darkvision 60 ft., passive Perception 10","—","1/2 (100 XP)"," Unusual Nature. The eel doesn't require air."," Multiattack. If it isn't attached to a creature, the eel makes one Bite attack and one Tail Spine attack. Bite. Melee Weapon Attack: +3 to hit, reach 5 ft., one creature. Hit: 4 (1d6 + 1) piercing damage, and the eel attaches to the target. While attached, the eel can't make Bite attacks. Instead, the target takes 4 (1d6 + 1) piercing damage at the start of each of the eel's turns. The eel can detach itself as a bonus action. A creature, including the target, can use its action to detach the eel. Tail Spine. Melee Weapon Attack: +3 to hit, reach 5 ft., one creature. Hit: 3 (1d4 + 1) piercing damage, and the target must succeed on a DC 10 Constitution saving throw or be poisoned for 1 minute. Until this poison ends, the target is paralyzed. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.","","","","","","",""
"Space Guppy","BAM","Small","unaligned","13","3 (1d6)","0 ft., fly 30 ft.","3","16","10","1","10","1","","","","","","","darkvision 60 ft., passive Perception 10","—","0 (0 or 10 XP)"," Air Envelope. If it has at least 1 hit point, the guppy can generate an air envelope around itself when in a vacuum. This air envelope can sustain the guppy and one other Tiny creature in its space indefinitely. Flyby. The guppy doesn't provoke opportunity attacks when it flies out of an enemy's reach."," Tail Slap. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 1 bludgeoning damage.","","","","","","",""
"Space Hamster","WDMM","Tiny","unaligned","10","1 (1d4 - 1)","20 ft.","2","11","9","2","10","4","","","","","","","darkvision 30 ft., passive Perception 10","—","0 (0 or 10 XP)"," Keen Smell. the hamster has advantage on Wisdom (Perception) checks that rely on smell.","","","","","","","",""
"Space Mollymawk","BAM","Small","unaligned","12","3 (1d6)","10 ft., fly 50 ft.","6","14","11","3","12","3","","Perception +5","","","","","passive Perception 15","—","0 (0 or 10 XP)"," Flyby. The mollymawk doesn't provoke opportunity attacks when it flies out of an enemy's reach. Hold Breath. The mollymawk can hold its breath for 15 minutes."," Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) piercing damage.","","","","","","",""
"Space Swine","BAM","Medium","unaligned","11","22 (4d8 + 4)","40 ft., fly 40 ft.","12","12","12","4","10","3","","Perception +4, Survival +4","","","","","passive Perception 14","—","1/4 (50 XP)",""," Bite. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 4 (1d6 + 1) piercing damage.","","","","","","",""
"Sperm Whale","IDRotF","Gargantuan","unaligned","13 (natural armor)","189 (14d20 + 42)","0 ft., swim 60 ft.","26","8","17","3","12","5","","","","","","","blindsight 120 ft., passive Perception 11","—","8 (3,900 XP)"," Echolocation. The whale can't use its blindsight while deafened. Hold Breath. The whale can hold its breath for 90 minutes. Keen Hearing. The whale has advantage on Wisdom (Perception) checks that rely on hearing."," Multiattack. The whale makes two attacks: one with its bite and one with its tail. Bite. Melee Weapon Attack: +11 to hit, reach 5 ft., one target. Hit: 21 (3d8 + 8) piercing damage. If the target is a Large or smaller creature, it must succeed on a DC 14 Dexterity saving throw or be swallowed by the whale. A swallowed creature has total cover against attacks and other effects outside the whale, and it takes 3 (1d6) acid damage at the start of each of the whale's turns. If the whale takes 30 damage or more on a single turn from a creature inside it, the whale must succeed on a DC 16 Constitution saving throw at the end of that turn or regurgitate all swallowed creatures, which fall prone in a space within 10 feet of the whale. If the whale dies, a swallowed creature can escape from the corpse by using 20 feet of movement, exiting prone. Tail. Melee Weapon Attack: +11 to hit, reach 15 ft., one target. Hit: 18 (3d6 + 8) bludgeoning damage, or 37 (6d6 + 16) bludgeoning damage if the target is an object.","","","","","","",""
"Spider","MM","Tiny","unaligned","12","1 (1d4 - 1)","20 ft., climb 20 ft.","2","14","8","1","10","2","","Stealth +4","","","","","darkvision 30 ft., passive Perception 10","—","0 (0 or 10 XP)"," Spider Climb. The spider can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check. Web Sense. While in contact with a web, the spider knows the exact location of any other creature in contact with the same web. Web Walker. The spider ignores movement restrictions caused by webbing."," Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 1 piercing damage, and the target must succeed on a DC 9 Constitution saving throw or take 2 (1d4) poison damage.","","","","","","",""
"Stegosaurus","MPMM","Huge","unaligned","13 (natural armor)","76 (8d12 + 24)","40 ft.","20","9","17","2","11","5","","","","","","","passive Perception 10","—","4 (1,100 XP)",""," Tail. Melee Weapon Attack: +7 to hit, reach 10 ft., one target. Hit: 26 (6d6 + 5) piercing damage.","","","","","","","Forest, Grassland"
"Stirge","MM","Tiny","unaligned","14 (natural armor)","2 (1d4)","10 ft., fly 40 ft.","4","16","11","2","8","6","","","","","","","darkvision 60 ft., passive Perception 9","—","1/8 (25 XP)",""," Blood Drain. Melee Weapon Attack: +5 to hit, reach 5 ft., one creature. Hit: 5 (1d4 + 3) piercing damage, and the stirge attaches to the target. While attached, the stirge doesn't attack. Instead, at the start of each of the stirge's turns, the target loses 5 (1d4 + 3) hit points due to blood loss.The stirge can detach itself by spending 5 feet of its movement. It does so after it drains 10 hit points of blood from the target or the target dies. A creature, including the target, can use its action to detach the stirge.","","","","","","","Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp, Underdark, Urban"
"Swarm of Bats","MM","Medium","unaligned","12","22 (5d8)","0 ft., fly 30 ft.","5","15","10","2","12","4","","","","bludgeoning, piercing, slashing","","charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned","blindsight 60 ft., passive Perception 11","—","1/4 (50 XP)"," Echolocation. The swarm can't use its blindsight while deafened. Keen Hearing. The swarm has advantage on Wisdom (Perception) checks that rely on hearing. Swarm. The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny bat. The swarm can't regain hit points or gain temporary hit points."," Bites. Melee Weapon Attack: +4 to hit, reach 0 ft., one creature in the swarm's space. Hit: 5 (2d4) piercing damage, or 2 (1d4) piercing damage if the swarm has half of its hit points or fewer.","","","","","","","Hill, Mountain, Underdark, Urban"
"Swarm of Beetles","MM","Medium","unaligned","12 (natural armor)","22 (5d8)","20 ft., burrow 5 ft., climb 20 ft.","3","13","10","1","7","1","","","","bludgeoning, piercing, slashing","","charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned","blindsight 10 ft., passive Perception 8","—","1/2 (100 XP)"," Swarm. The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny insect. The swarm can't regain hit points or gain temporary hit points."," Bites. Melee Weapon Attack: +3 to hit, reach 0 ft., one target in the swarm's space. Hit: 10 (4d4) piercing damage, or 5 (2d4) piercing damage if the swarm has half of its hit points or fewer.","","","","","","","Desert, Forest, Grassland, Hill, Swamp, Underdark, Urban"
"Swarm of Centipedes","MM","Medium","unaligned","12 (natural armor)","22 (5d8)","20 ft., climb 20 ft.","3","13","10","1","7","1","","","","bludgeoning, piercing, slashing","","charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned","blindsight 10 ft., passive Perception 8","—","1/2 (100 XP)"," Swarm. The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny insect. The swarm can't regain hit points or gain temporary hit points."," Bites. Melee Weapon Attack: +3 to hit, reach 0 ft., one target in the swarm's space. Hit: 10 (4d4) piercing damage, or 5 (2d4) piercing damage if the swarm has half of its hit points or fewer.A creature reduced to 0 hit points by a swarm of centipedes is stable but poisoned for 1 hour, even after regaining hit points, and paralyzed while poisoned in this way.","","","","","","","Desert, Forest, Grassland, Hill, Swamp, Underdark, Urban"
"Swarm of Insects","MM","Medium","unaligned","12 (natural armor)","22 (5d8)","20 ft., climb 20 ft.","3","13","10","1","7","1","","","","bludgeoning, piercing, slashing","","charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned","blindsight 10 ft., passive Perception 8","—","1/2 (100 XP)"," Swarm. The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny insect. The swarm can't regain hit points or gain temporary hit points."," Bites. Melee Weapon Attack: +3 to hit, reach 0 ft., one target in the swarm's space. Hit: 10 (4d4) piercing damage, or 5 (2d4) piercing damage if the swarm has half of its hit points or fewer.","","","","","","","Desert, Forest, Grassland, Hill, Swamp, Underdark, Urban"
"Swarm of Maggots","VRGR","Medium","","11","22 (5d8)","20 ft., swim 20 ft.","3","12","10","1","7","1","","","","bludgeoning, piercing, slashing","","charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned","blindsight 10 ft., passive Perception 8","—","2 (450 XP)"," Swarm. The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny maggot. The swarm can't regain hit points or gain temporary hit points."," Infestation. Melee Weapon Attack: +3 to hit, reach 0 ft., one target in the swarm's space. Hit: 10 (4d4) piercing damage, or 5 (2d4) piercing damage if the swarm has half of its hit points or fewer. A creature damaged by the swarm must succeed on a DC 12 Constitution saving throw or contract a disease.Each time the diseased creature finishes a long rest, roll a d6 to determine the disease's effect:1-2. The creature is blinded until it finishes a long rest.3-4. The creature's hit point maximum decreases by 5 (2d4), and the reduction can't be removed until the disease ends. The creature dies if its hit point maximum drops to 0.5-6. The creature has disadvantage on ability checks and attack rolls until it finishes its next long rest.The disease lasts until it's removed by magic or until the creature rolls the same random effect for the disease two long rests in a row.","","","","","","",""
"Swarm of Poisonous Snakes","MM","Medium","unaligned","14","36 (8d8)","30 ft., swim 30 ft.","8","18","11","1","10","3","","","","bludgeoning, piercing, slashing","","charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned","blindsight 10 ft., passive Perception 10","—","2 (450 XP)"," Swarm. The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny snake. The swarm can't regain hit points or gain temporary hit points."," Bites. Melee Weapon Attack: +6 to hit, reach 0 ft., one creature in the swarm's space. Hit: 7 (2d6) piercing damage, or 3 (1d6) piercing damage if the swarm has half of its hit points or fewer. The target must make a DC 10 Constitution saving throw, taking 14 (4d6) poison damage on a failed save, or half as much damage on a successful one.","","","","","","","Forest, Swamp"
"Swarm of Quippers","MM","Medium","unaligned","13","28 (8d8 - 8)","0 ft., swim 40 ft.","13","16","9","1","7","2","","","","bludgeoning, piercing, slashing","","charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned","darkvision 60 ft., passive Perception 8","—","1 (200 XP)"," Blood Frenzy. The swarm has advantage on melee attack rolls against any creature that doesn't have all its hit points. Swarm. The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny quipper. The swarm can't regain hit points or gain temporary hit points. Water Breathing. The swarm can breathe only underwater."," Bites. Melee Weapon Attack: +5 to hit, reach 0 ft., one creature in the swarm's space. Hit: 14 (4d6) piercing damage, or 7 (2d6) piercing damage if the swarm has half of its hit points or fewer.","","","","","","","Underwater"
"Swarm of Rats","MM","Medium","unaligned","10","24 (7d8 - 7)","30 ft.","9","11","9","2","10","3","","","","bludgeoning, piercing, slashing","","charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned","darkvision 30 ft., passive Perception 10","—","1/4 (50 XP)"," Keen Smell. The swarm has advantage on Wisdom (Perception) checks that rely on smell. Swarm. The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny rat. The swarm can't regain hit points or gain temporary hit points."," Bites. Melee Weapon Attack: +2 to hit, reach 0 ft., one target in the swarm's space. Hit: 7 (2d6) piercing damage, or 3 (1d6) piercing damage if the swarm has half of its hit points or fewer.","","","","","","","Swamp, Urban"
"Swarm of Ravens","MM","Medium","unaligned","12","24 (7d8 - 7)","10 ft., fly 50 ft.","6","14","8","3","12","6","","Perception +5","","bludgeoning, piercing, slashing","","charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned","passive Perception 15","—","1/4 (50 XP)"," Swarm. The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny raven. The swarm can't regain hit points or gain temporary hit points."," Beaks. Melee Weapon Attack: +4 to hit, reach 5 ft., one target in the swarm's space. Hit: 7 (2d6) piercing damage, or 3 (1d6) piercing damage if the swarm has half of its hit points or fewer.","","","","","","","Forest, Hill, Swamp, Urban"
"Swarm of Rot Grubs","MPMM","Medium","unaligned","8","22 (5d8)","5 ft., climb 5 ft.","2","7","10","1","2","1","","","fire","piercing, slashing","","charmed, frightened, grappled, paralyzed, petrified, prone, restrained","blindsight 10 ft., passive Perception 6","—","1/2 (100 XP)"," Swarm. The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny maggot. The swarm can't regain hit points or gain temporary hit points."," Bites. Melee Weapon Attack: +0 to hit, reach 0 ft., one creature in the swarm's space. Hit: 7 (2d6) piercing damage, and the target must succeed on a DC 10 Constitution saving throw or be poisoned. At the end of each of the poisoned target's turns, the target takes 3 (1d6) poison damage. Whenever the poisoned target takes fire damage, the target can repeat the saving throw, ending the effect on itself on a success. If the poisoned target ends its turn with 0 hit points, it dies.","","","","","","","Swamp, Underdark"
"Swarm of Scarabs","VRGR","Medium","","13 (natural armor)","27 (5d8 + 5)","30 ft., burrow 30 ft., climb 30 ft.","3","14","13","1","12","1","","","","bludgeoning, piercing, slashing","","charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned","tremorsense 60 ft., passive Perception 11","—","3 (700 XP)"," Skeletonize. If the swarm starts its turn in the same space as a dead creature that is Large or smaller, the corpse is destroyed, leaving behind only equipment and bones (or exoskeleton). Spider Climb. The swarm can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check. Swarm. The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny scarab. The swarm can't regain hit points or gain temporary hit points."," Ravenous Bites. Melee Weapon Attack: +4 to hit, reach 0 ft., one target in the swarm's space. Hit: 14 (4d6) piercing damage, or 7 (2d6) piercing damage if the swarm has half of its hit points or fewer. If the target is a creature, scarabs burrow into its body, and the creature takes 3 (1d6) piercing damage at the start of each of its turns. Any creature can use an action to kill or remove the scarabs with fire or a weapon that deals piercing damage, causing 1 damage of the appropriate type to the target. A creature reduced to 0 hit points by the swarm's piercing damage dies.","","","","","","",""
"Swarm of Spiders","MM","Medium","unaligned","12 (natural armor)","22 (5d8)","20 ft., climb 20 ft.","3","13","10","1","7","1","","","","bludgeoning, piercing, slashing","","charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned","blindsight 10 ft., passive Perception 8","—","1/2 (100 XP)"," Spider Climb. The swarm can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check. Swarm. The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny insect. The swarm can't regain hit points or gain temporary hit points. Web Sense. While in contact with a web, the swarm knows the exact location of any other creature in contact with the same web. Web Walker. The swarm ignores movement restrictions caused by webbing."," Bites. Melee Weapon Attack: +3 to hit, reach 0 ft., one target in the swarm's space. Hit: 10 (4d4) piercing damage, or 5 (2d4) piercing damage if the swarm has half of its hit points or fewer.","","","","","","","Desert, Forest, Grassland, Hill, Swamp, Underdark, Urban"
"Swarm of Wasps","MM","Medium","unaligned","12 (natural armor)","22 (5d8)","5 ft., fly 30 ft.","3","13","10","1","7","1","","","","bludgeoning, piercing, slashing","","charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned","blindsight 10 ft., passive Perception 8","—","1/2 (100 XP)"," Swarm. The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny insect. The swarm can't regain hit points or gain temporary hit points."," Bites. Melee Weapon Attack: +3 to hit, reach 0 ft., one target in the swarm's space. Hit: 10 (4d4) piercing damage, or 5 (2d4) piercing damage if the swarm has half of its hit points or fewer.","","","","","","","Desert, Forest, Grassland, Hill, Swamp, Underdark, Urban"
"Tiger","MM","Large","unaligned","12","37 (5d10 + 10)","40 ft.","17","15","14","3","12","8","","Perception +3, Stealth +6","","","","","darkvision 60 ft., passive Perception 13","—","1 (200 XP)"," Keen Smell. The tiger has advantage on Wisdom (Perception) checks that rely on smell. Pounce. If the tiger moves at least 20 feet straight toward a creature and then hits it with a claw attack on the same turn, that target must succeed on a DC 13 Strength saving throw or be knocked prone. If the target is prone, the tiger can make one bite attack against it as a bonus action."," Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 8 (1d10 + 3) piercing damage. Claw. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 7 (1d8 + 3) slashing damage.","","","","","","","Forest, Grassland"
"Triceratops","MM","Huge","unaligned","13 (natural armor)","95 (10d12 + 30)","50 ft.","22","9","17","2","11","5","","","","","","","passive Perception 10","—","5 (1,800 XP)"," Trampling Charge. If the triceratops moves at least 20 feet straight toward a creature and then hits it with a gore attack on the same turn, that target must succeed on a DC 13 Strength saving throw or be knocked prone. If the target is prone, the triceratops can make one stomp attack against it as a bonus action."," Gore. Melee Weapon Attack: +9 to hit, reach 5 ft., one target. Hit: 24 (4d8 + 6) piercing damage. Stomp. Melee Weapon Attack: +9 to hit, reach 5 ft., one prone creature. Hit: 22 (3d10 + 6) bludgeoning damage","","","","","","","Grassland"
"Tyrannosaurus Rex","MM","Huge","unaligned","13 (natural armor)","136 (13d12 + 52)","50 ft.","25","10","19","2","12","9","","Perception +4","","","","","passive Perception 14","—","8 (3,900 XP)",""," Multiattack. The tyrannosaurus makes two attacks: one with its bite and one with its tail. It can't make both attacks against the same target. Bite. Melee Weapon Attack: +10 to hit, reach 10 ft., one target. Hit: 33 (4d12 + 7) piercing damage. If the target is a Medium or smaller creature, it is grappled (escape DC 17). Until this grapple ends, the target is restrained, and the tyrannosaurus can't bite another target. Tail. Melee Weapon Attack: +10 to hit, reach 10 ft., one target. Hit: 20 (3d8 + 7) bludgeoning damage.","","","","","","","Grassland"
"Velociraptor","MPMM","Tiny","unaligned","13 (natural armor)","10 (3d4 + 3)","30 ft.","6","14","13","4","12","6","","Perception +3","","","","","passive Perception 13","—","1/4 (50 XP)"," Pack Tactics. The velociraptor has advantage on an attack roll against a creature if at least one of the velociraptor's allies is within 5 feet of the creature and the ally isn't incapacitated."," Multiattack. The velociraptor makes one Bite attack and one Claw attack. Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 5 (1d6 + 2) piercing damage. Claw. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) slashing damage.","","","","","","","Forest, Grassland"
